file_id,rep,file_name,account_name,account_source,is_customer_call,is_prospect,has_transcript,probe_transcript,char_count,transcript_chars,transcript_turns,transcript_duration,has_screenshots,confidence,call_type_note
1dZnTGi1KFwrhg1p_vQOt23GVJTTPittmrcwIXU4c5hM,Jason,rix-khos-rdk (2026-07-27 14:55 GMT-4) - Transcript,,unresolved,False,False,True,True,9742,9640,96,00:09:17,False,high,"Internal 1:1 with the founder: offsite travel logistics, expense policy and a referral-program idea. No prospect present."
1DrGySddRu7gjo_SRFL0x7jhDRmAwx1n1_iW8aBe-4D8,Jason,Meeting started 2026/09/10 12:59 EDT - Notes by Gemini,,unresolved,False,False,False,False,8871,0,0,,False,high,"Internal CourseRev catch-up: football banter, referral-program and B2C app strategy, Golf Inc. conference and booth logistics. No prospect present."
1l0Iq_O1cJQ2mhj3ukRfmIXwgtYHeUpuhGhUZVZTxOMI,Jason,Stonebridge Meadows Meeting Notes,Stonebridge Meadows,title,True,True,False,False,7579,0,0,,False,high,"Demo plus onboarding kickoff with Stonebridge Meadows (Fayetteville, AR); pricing agreed, LightSpeed setup details collected. Summary only, no verbatim transcript."
1Xp_cxjF_LEgL00_troe40SERwVpEhRXDgLAkfwmnkTE,Jason,Meeting started 2026/08/11 09:31 EDT - Notes by Gemini,,unresolved,True,True,False,False,6914,0,0,,True,medium,"Discovery plus live product demo with a golf facility; pricing, references and GM/COO review as next steps."
1b1K5gKPDDlEMwWpkfqz0b-8QkAxACpIwapDOAYElu6c,Jason,Meeting started 2026/08/10 12:30 EDT - Notes by Gemini,,unresolved,False,False,False,,6269,0,0,,True,medium,"Internal CourseRev competitive-intel working session on rival 'Notify'; they place live probe calls to Palm Beach courses. Notes + screenshots only, no verbatim transcript."
1IGbv5jcQ6q8_MMNyeZfmtXpsr-dlNGmlU7BSUOvsYDU,Jason,Meeting Notes with Deerhurst,Deerhurst,title,True,True,False,,6241,0,0,,False,high,"Discovery plus live demo and pricing walkthrough with Deerhurst Resort golf; Gemini summary only, no verbatim transcript."
19pxZ917FAcSkUJOTQUgg2Hg-FP5_A6lEAALhGFsF0cc,Jason,Meeting started 2026/08/17 09:59 EDT - Notes by Gemini,,unresolved,True,True,False,,5959,0,0,,True,medium,"Live product demo for a prospect golf course owner, covering features, $2.50 fee structure and onboarding; decision pending."
1_0dAza6evR4hNMBY547jvGTEJl-Ti0lyJQsw_Zcm76Q,Jason,Meeting started 2026/07/08 13:00 EDT - Notes by Gemini,,unresolved,True,True,False,False,4548,0,0,,False,medium,"Demo and pricing call with a prospect using GolfNow; summary only, no attendee emails or course name given."
1ZD0UZC6gMh9RwTcEcfpek2XRF2zwXBLT1RH0koUZSMQ,Jason,Dacotah Ridge & Courserev Discussion - 2026/07/20 11:01 EDT - Notes by Gemini,Dacotah Ridge,title,True,True,False,False,1985,0,0,00:00:42,False,medium,"Scheduled prospect call that never happened: 42s of audio, Gemini produced no summary/details and the Transcript heading has zero speaker turns."
12PrhDp57Dar0ivoMFZZF_QF4Q5llTa2hCIAKi9yzZBk,Jason,Courserev & Dacotah Ridge GC exploratory call - 2026/06/23 10:58 EDT - Notes by Gemini,Dacotah Ridge GC,title,True,True,True,False,1760,319,1,00:06:20,False,medium,"Exploratory call with a prospect course (Jackpot Junction domain), but Gemini captured no real conversation: one transcript line over 6:20 and no summary or details."
1i3CwRUGCkj5eJZ-KZX8wGS3nM1iQPsnJZwiMYgqx7_U,Jason,Meeting started 2026/07/07 13:01 EDT - Notes by Gemini,,unresolved,False,False,False,,1496,0,0,00:08:20,False,low,Empty record: Gemini produced no summary or details (not enough speech) and the transcript section has no dialogue; meeting type undetermined.
1JmEXsttscAA71C-xnoYRinVcdHAba-yl9Mu88tTc8bw,Jason,Meeting started 2026/07/21 10:00 EDT - Notes by Gemini,,unresolved,True,True,False,,1459,0,0,00:03:58,False,low,"Near-empty record: untitled 4-minute meeting, Gemini produced no summary or dialogue, no attendees listed."
1FHdLXlSzSoSl-R5CCv8jA7NO8C_and1oKAC1Z3pI0oM,Jason,Meeting started 2026/09/02 11:29 EDT - Notes by Gemini,,unresolved,False,False,False,False,1110,0,0,,False,low,"Empty stub: no summary, no details, no attendee/invite line, no Transcript section at all - only Gemini's 'not enough conversation in a supported language' boilerplate. Nothing identifies the meeting type; false is a conservative default, not evidence."
1TkHlezkEx4WruzFo-CD6VikNtsoJBZfzOmf4VFRsKog,Jason,Meeting started 2026/09/09 13:16 EDT - Notes by Gemini,,unresolved,False,False,False,False,1109,0,0,,False,low,"Stub doc: Gemini produced no summary, details or attendees, so the meeting type cannot be determined."
1gBaOC5-9ibVM_ERbRQ-WJ1o4VaqyPTdVKK_GlPjHmmo,Jason,Meeting started 2026/07/22 11:00 EDT - Notes by Gemini,,unresolved,,False,False,,1105,0,0,,False,low,"Empty stub: untitled ad-hoc meeting, no attendee header, no summary, no details, no transcript section. Nothing indicates who attended or whether it was external."
1vL-293owqcMyf7Rsjo4flZP9JkOQKycUmFM3SzAhByw,Jason,Meeting started 2026/07/22 10:01 EDT - Notes by Gemini,,unresolved,,False,False,False,1105,0,0,,False,low,"Empty stub: no summary, no details, no invitee list, no transcript section. Nothing in the doc indicates whether it was a customer or internal meeting."
1iyWzZrCJeqTM1q5Jx5G76zBqJeKyMx2fW53xbu7AUVc,Jason,Meeting started 2026/08/03 09:59 EDT - Notes by Gemini,,unresolved,False,False,False,False,1022,0,0,,False,low,"Empty Gemini stub: no summary, no invitee list, no transcript section. Nothing identifies the meeting; defaulted to non-customer on no evidence."
191j7yg4_5hb22wYe1KCnEuRwaYXQpZB7YJnFEfiCQ1Y,Jason,obr-keqc-hka (2026-08-19 13:20 GMT-4) - Transcript,,unresolved,False,False,True,,693,591,5,00:01:42,False,high,Internal CourseRev check-in between Elias and Jason that aborted after 1:42 due to audio/Google Chat trouble.
1NH_eoqJ_3IY1IKgNOq1l0YsW5MlzRUYHJRxYsELV5wI,Jason,ahg-tqfw-umm (2026-08-05 16:23 GMT-4) - Transcript,,unresolved,False,False,False,False,277,0,0,,False,low,Stub transcript doc for a 43-second Meet session (code ahg-tqfw-umm); Jason is the only listed attendee and no dialogue was captured.
1cXeN334LeUKTxvaKUMOMK99Qn7z4urG6tUcuqrFs1dk,Jason,nky-drdb-bdg (2026-08-11 10:13 GMT-4) - Transcript,,unresolved,False,False,False,,277,0,0,00:00:28,False,low,Stub transcript doc only (no Gemini notes): 28-second meeting with Jason Doepke as sole listed attendee and no dialogue captured.
