call_id,rep,date,account_name,account_source,meeting_type,content_tier,prospect_seniority,attendee_count,demo_happened,features_demoed,pain_points,current_solution,objection_count,objections_determinable,objection_categories,objections_resolved,sentiment_open,sentiment_post_demo,sentiment_at_pricing,sentiment_close,sentiment_trajectory,call_path_norm,call_path_len,call_path,pivot_point_count,next_step_secured,next_step_has_date,next_step_description,buying_signal_count,stall_count,rep_commitment_count,unanswered_question_count,extraction_confidence,doc_url
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU,Bo,2026-08-31,Ocean Course Hokuala,title,demo,rich,GM,3,True,"Live AI voice call to an existing client course (The Divide, North Carolina) played over speaker|Weather forecast lookup mid-call before booking|Recovery when the caller changed the requested day, and a knowledge-base miss on practice facilities handled by offering to connect to the pro shop|Tee time search with nearby alternative times offered, and a course-condition heads-up about top dressing|Double-confirmation flow: full read-back of date, time, player count, holes, per-player and total price before locking in, built for the Divide's retirement-community clientele (sister course Highland Creek runs without it)|Cart inclusion, pay-at-counter, and SMS confirmation containing the booking link, a cancel link and a weather-guarantee upsell link","Golf shop team cannot adapt to how phone calls need to be handled - Tom: 'we're struggling with our golf shop team right now'|The admin office was moved away from the golf shop during temporary relocations, so phone calls stopped being supported by the management team|Service quality varies by shift and by who picks up; Tom said of relying on human staff 'I can't rely on that right?'|Two people in the shop handle roughly 2,000-2,500 bookings a month with back-end support|Most inbound calls are rate-qualification calls (Hawaii resident rates are unpublished, industry rates, membership) that need research and rapport before a rate can be quoted|Phone accounts for 'at least 30 35% on a weekday' of bookings and about 60% at weekends, so call quality directly drives revenue|A hard cap of about 120 players a day means the shop has to sell value rather than fill the sheet, which makes every call a sales conversation|Tom said the operation has been 'put in a very bad spot by the convenience of answering a telephone' over the last two years","Phones handled in-house by the golf shop: the Easy Links phone-call service was stripped away during COVID and the work moved into the shop. Two shop staff plus back-end support; the shop switches over to the call centre in the evening. Access tee sheet through Troon/Indigo Sports, with the Notify waitlist tool turned on. Fully prepaid online and through the call centre; phone bookings taken direct are paid at check-in. Tom and his assistant golf professional have built their own AI models over about three and a half years to encode the property's brand and sales flow.",7,True,ai_quality_doubt|approval_authority|other|price|security_privacy|timing_seasonality,4,5,4,4,5,v_shaped,rapport>discovery>other>discovery>pricing>discovery>integration>demo>objection>pricing>other>pricing>objection>pricing>onboarding>objection>next_step,21,"Pre-call between the two CourseRev attendees while waiting for the prospect|Introductions and course context (island green, lagoons, ocean holes)|Prospect-led framing: the team already uses AI daily and has prepped materials|Discovery: pro shop staffing problems, phone service pulled back from Easy Links during COVID, admin office relocated|Discovery: sales strategy of not leading with rack rate, rate-qualification calls, Hawaii resident and industry rates|Discovery metrics: 2,000-2,500 bookings a month, two staff, 30-35% weekday / 60% weekend phone share, 120-player daily cap|Platform and integration: Access tee sheet via Troon, Notify waitlist, CourseRev's recent Access integration|Customization philosophy stated by CourseRev before the demo|Prospect's screen share failed, so the order flipped and CourseRev demoed first|Live AI voice demo to The Divide plus the double-confirmation explanation|Prospect objection that his booking journey is not that simple|Prospect-led roleplay of his own live sales call (Malama program, scramble clinic, resort and dynamic rates, rental clubs, notes)|CourseRev response: prepay and card-hold options, PCI-compliant payment links, upsell at checkout|Consistency-of-delivery discussion: why Tom wants AI over shift-dependent humans|Iteration model and call-log analysis; Kapalua as a brand fine-tuning benchmark|Pricing: $2.50 per round checked in, uncharged for information calls, no-shows and cancellations|Customization commitment ultimatum and CourseRev's affirmative answer|Commercial adjustment: booking fee on low and complimentary rates; 95% call-handling goal|Onboarding mechanics: agreement, onboarding form, assigned AI line, knowledge base, invisible until call forwarding is switched|Blockers: Troon legal approval, potential ownership change, customer-data boundaries|Next steps and contact details",4,True,False,"Bo to send the legal agreement; Tom to run it up to Troon legal and management for approval and to check that current ownership is comfortable signing ahead of a possible ownership change. Tom to send CourseRev the prep work and AI training material he built for the property. Elias to create the onboarding form covering player types and cancellation policy, follow up in the email thread with Tom and Bo, and include his personal cell in his signature. CourseRev then assigns an AI line and stands up a base model. No dates were set for any step.",10,5,8,3,high,https://docs.google.com/document/d/1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU/edit
1_0dAza6evR4hNMBY547jvGTEJl-Ti0lyJQsw_Zcm76Q,Jason,2026-07-08,,unresolved,demo,thin,unknown,2,True,tee time booking|total pricing quoted on the call|text confirmation|weather guarantee|practice facility inquiry|restaurant inquiry,Inbound calls are taken on a shop cell phone|Calls go unanswered when the facility is closed|Non-revenue calls about rates and availability divert staff from in-person service (rep-framed via a National Golf Foundation figure of 67%),"Golf Now for the tee sheet; inbound calls taken on a shop cell phone, with no coverage when the facility is closed.",0,True,,0,3,4,,4,insufficient_data,discovery>other>demo>pricing>onboarding>next_step,6,current phone operations discovery|delayed call-forwarding and AI agent proposal|live demo of the voice concierge|pricing|onboarding and implementation steps|Golf Now integration status and follow-up,1,True,True,"Jason Doepke to email the onboarding form link and the standard agreement detailing contract and pricing, and to call the client the following Monday to follow up on the materials and integration progress.",2,3,4,0,low,https://docs.google.com/document/d/1_0dAza6evR4hNMBY547jvGTEJl-Ti0lyJQsw_Zcm76Q/edit
1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc,Jason,2026-06-22,New Albany Links GC,title,discovery,rich,unknown,3,True,"Live outbound call to the AI concierge at Arizona Biltmore Golf Club - the demo target course, not the prospect - booking a tee time for four players|Availability search across two courses at one property (Estates and Links), with per-player and total rate quotes|Caller recognition by phone number, booking under an existing customer profile without creating duplicates|Email confirmation and a texted secure link to add card details on file|Cross-course referral to a sister course when the called course is fully booked (described, not exercised - the demo found availability)|Customer dashboard call log with a per-call transcription viewer|Notice board for temporary announcements such as cart-path-only, lunch specials and maintenance or aeration schedules|Waitlist feature (mentioned during pricing as included at no charge, not shown)","Golf shop staff do not answer the phone while helping a customer at the counter - ""they typically won't answer the phone if they're helping someone"" - and a lot of them just let the phone ring|Staff capability is uneven: a handful can multitask between the counter and the phone, but many of the retired staff in the shop cannot|Unanswered calls fall to a voicemail that staff check later; there is no overflow handling|After-hours callers typically do not leave a message at all, so that demand is invisible|Each of the six Columbus-area properties has its own phone number; extension one on the New Albany main line reaches only the New Albany shop, so a caller cannot be moved to a sister course by phone|New ownership since February is rebranding and building a public restaurant, and no reservation system has been chosen for it yet","A main line with a greeter and a seven-extension phone tree - one for the golf shop, two for Luke Bowersock, three for the pub. Tee times are taken by whoever is behind the golf shop counter; unanswered calls go to a voicemail the staff check later. Online booking runs through a third-party booking page linked from the website, with a facility dropdown covering the group's courses. No after-hours or overflow handling beyond voicemail.",2,True,call_volume_doubt|other,0,3,4,3,4,rising,other>rapport>discovery>other>demo>other>pricing>other>demo>pricing>onboarding>other,13,late_start_and_tech_trouble|intro_and_participant_roles|discovery_current_phone_operations|discovery_missed_calls_and_voicemail|customer_data_and_booking_configuration|live_ai_booking_demo_call|restaurant_scope_limits|pricing|fallback_and_human_handoff|dashboard_and_notice_board_walkthrough|multi_course_mco_rate|implementation_process|next_step_materials,3,True,False,"Jason Doepke to send, the same day, a one-to-two-minute Loom video walking through the dashboard, a sample agreement and a link to the onboarding Google form; Luke Bowersock to forward that material to the Good Lag Partners ownership group, who he speaks with weekly and has a call with on the Wednesday, conditional on it not being cancelled; Jason to reach out early the following week. No specific date or time was fixed for that follow-up conversation.",7,3,6,3,high,https://docs.google.com/document/d/1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc/edit
1d7lBHa27LrOJHMJXBIk_DFsWFN03hGypvvVtnNuXdBk,Jason,2026-07-13,Dacotah Ridge,title,,stub,unknown,2,False,,,,0,True,,0,,,,,insufficient_data,,0,,0,False,False,,0,0,0,0,low,https://docs.google.com/document/d/1d7lBHa27LrOJHMJXBIk_DFsWFN03hGypvvVtnNuXdBk/edit
1dZqrIT7F3_iJhg3MxkWGjPi_VrhI_kTbfSGRpZSRVRY,Bo,2026-09-01,Cedaredge Golf Course,title,,stub,unknown,2,,,,,0,True,,0,,,,,insufficient_data,,0,,0,,,,0,0,0,0,low,https://docs.google.com/document/d/1dZqrIT7F3_iJhg3MxkWGjPi_VrhI_kTbfSGRpZSRVRY/edit
1eNhbK28h7Y6Vnx4CxhWYoMhK4yCkVBnmPImPwyuebnk,Bo,2026-08-18,The Links at Bodega Harbour,title,other,moderate,,1,False,,,,0,True,,0,,,,,insufficient_data,,0,,0,False,False,,0,0,0,0,low,https://docs.google.com/document/d/1eNhbK28h7Y6Vnx4CxhWYoMhK4yCkVBnmPImPwyuebnk/edit
1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI,Bo,2026-05-18,Temecula Creek Inn,title,demo,rich,unknown,2,True,"Live inbound AI booking call placed by the rep to Highland Creek Golf Club (the demo target course, not the prospect)|Caller recognition from data held in the course's backend system|Player-type qualification (public vs senior rate)|Tee-sheet availability lookup, rate quote and tee-time confirmation|Pay-at-the-pro-shop handling, with no card taken during the call|Confirmation text containing booking link, reminders and a weather-guarantee add-on","Prospect does not know how the resort's existing answering service handles inbound golf calls; he names that unfamiliarity as what prompted him to take this call|Prospect describes the resort's current system as very general, with nothing fancy about it","Club Profit tee-sheet software at the facility (confirmed by the prospect), with inbound calls going through a resort answering service whose workings the prospect says he is not familiar with",1,True,other,0,3,4,3,3,flat,rapport>demo>integration>other>pricing>next_step,7,intro_and_value_pitch|live_ai_booking_demo_call|tee_sheet_integration_check|reference_request|resort_scope_limits|pricing|next_step_scheduling,2,True,True,"Bo to send the service agreement plus a contact at a comparable golf resort, then check in by message or call at 1:00 p.m. on Friday; the prospect agreed to that slot.",5,1,3,1,medium,https://docs.google.com/document/d/1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI/edit
1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q,Jason,2026-08-13,,unresolved,negotiation,moderate,unknown,6,False,,Covering inbound calls at peak times such as busy Saturday mornings without hiring additional staff|No-shows and abuse on phone bookings; the club requires prepayment on phone bookings as it does online|Competitors or malicious users potentially using bots or multiple numbers to monopolize the tee sheet|Golfers arriving for a non-existent tee time and leaving poor reviews,Bookings and green fees run through the Lightseed point of sale and tee sheet (CourseRev's partner); phone calls are handled by pro shop staff. No incumbent call-automation vendor is named.,7,True,ai_quality_doubt|contract_terms|other|security_privacy|staff_adoption,0,2,,4,4,rising,onboarding>other>discovery>other>pricing>objection>other>integration>onboarding,10,"onboarding paperwork and process expectations|contract terms, month-to-month and trial period|operational configuration (ring delay, FAQ answers)|booking logic, identity verification and notifications|cancellation and fee parameters|billing and payment workflow|customer demographics and staff adoption concerns|security, spam and fraud protection|tee sheet visibility and revenue reconciliation|agreement to move forward pending onboarding form and signature",2,True,False,"Jason Doepke to send the onboarding form; Elias Gross to send the knowledgebase file, a screenshot of how a booking appears on the Lightseed tee sheet, and to investigate per-transaction billing; Tyler Smith to send the response template; Taylor Johnson to review the template against owner expectations, decide AI booking timing restrictions, brief course staff and execute the Lightseed agreement. The trial period runs to the end of the month following execution. No calendar dates are given.",7,5,6,2,low,https://docs.google.com/document/d/1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q/edit
1l6SjE9amM3BwVYl5Sd3lBvXvAVi6jP6YMrOploN4iM8,Bo,2026-08-12,Pine Springs,title,demo,rich,GM,2,True,"CourseRev dashboard: dashboard, analytics, bookings and notice board views|Channel management toggle between the AI voice and an optional chatbot widget, shown live on client Genoa Golf Club's site|Live inbound AI voice booking call placed by the rep to the Divide Golf Club (the demo target course, not the prospect)|Caller recognition by name on the inbound call|Practice-facility question answering (Top Tracer range, hitting areas, bucket prices, hours)|Tee sheet availability lookup with alternative times offered when the requested slot was gone|Rate quote, per-player and total pricing, and pay-at-the-pro-shop-counter handling|Confirmation text with confirm/cancel link and a weather-guarantee add-on link|Call log with full call transcription viewable in the dashboard|Notice board for proactively weaving course notices and pro shop promotions into AI conversations|Knowledge base that can be manually updated with frequently asked questions|Routing to a human in the pro shop by keypress or keyword recognition|Call-forwarding deployment options: 24/7, after-hours only, or delayed forward after three or four rings","High and rising inbound call volume driven by a busy course - the prospect ties the two together herself, ""hence a lot of phone calls""|Weekend peak load forces a dedicated phone shift: ""I have to schedule a second person to work just for the phone pretty much"" Friday through Sunday|Repetitive weather and forecast questions absorb staff time - the prospect says working at a golf course makes you a meteorologist as well|Tuesday night scramble sign-ups are handled on paper, generating repeat Monday and Tuesday calls asking whether the scramble is full|Pro shop closes at six, so calls after that are not answered","Inbound calls are taken by pro shop staff, with a second person scheduled onto the phone Friday through Sunday. The pro shop closes at six. Tuesday night scramble sign-ups are taken on paper - ""We just do it on paper. It's pretty old school"". Cart GPS was recently installed.",4,True,ai_quality_doubt|approval_authority|other|price,0,4,4,3,4,v_shaped,rapport>other>demo>other>onboarding>other>pricing>other>onboarding>next_step>objection>next_step,16,"rapport and course conditions|prospect background and role|value pitch and company credibility|dashboard and channel overview|live AI booking demo call to the Divide Golf Club|call log and transcription review|notice board and knowledge base|complex-request routing to the pro shop|prior-AI speed doubt, reliability and support|call-forwarding deployment options|pricing|budget and owner approval|implementation timing ahead of peak season|next steps, agreement and sister-course lead|older-golfer acceptance concern|contact exchange and follow-up scheduling",3,True,True,"Bo to send a comprehensive email with CourseRev's value propositions and a go-live document, plus the service agreement for review; Claire to take the proposal to the owner and his father-in-law, who co-own under Final Fairway LLC, straight after the call; Bo to text or call Claire at 2:30 p.m. Central the next day to hear the outcome, and to meet the owner directly if wanted.",10,5,5,1,high,https://docs.google.com/document/d/1l6SjE9amM3BwVYl5Sd3lBvXvAVi6jP6YMrOploN4iM8/edit
1lh718a6-SEz3M0xIoA3RugMV5XGUbKORbMooYTbsCM0,Bo,2026-08-12,Laughlin Ranch,title,,stub,unknown,2,,,,,,False,,0,,,,,insufficient_data,,0,,0,,,,0,0,0,0,low,https://docs.google.com/document/d/1lh718a6-SEz3M0xIoA3RugMV5XGUbKORbMooYTbsCM0/edit
