call_id,rep,account_name,date,meeting_type,content_tier,question,extraction_confidence
1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ,Jason,,2026-08-10,demo,moderate,"Whether GolfNow would push back on the proposed AI integration - carried out of the meeting as a research item for the rep, with no answer in the document",low
1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ,Jason,,2026-08-10,demo,moderate,"Whether the course needs an additional phone line to support the delayed call forward - carried as an action item for the prospect to check with the telecommunications provider, alongside identifying the current phone provider",low
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU,Bo,Ocean Course Hokuala,2026-08-31,demo,rich,Whether a percentage or tiered pricing model is possible instead of a flat per-round fee - Elias clarified the flat fee is charged per round checked in but did not respond to the percentage proposal; Tom then proposed adding a booking fee to low and complimentary rates himself,high
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU,Bo,Ocean Course Hokuala,2026-08-31,demo,rich,Where exactly the customer-data boundaries sit - Elias said 'we would need to be a little bit more specific about where those boundaries are' and described the range of configurations without settling on one,high
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU,Bo,Ocean Course Hokuala,2026-08-31,demo,rich,Whether current ownership will allow a new contract to be signed ahead of the potential ownership change,high
1_cUB0ZFNgd6TpD_bnKTo8ta7v2uNeyG7EdgdlLB0bOQ,Bo,Indian Canyons,2026-06-11,demo,rich,"Whether the voice concierge can create a new customer profile in the tee sheet during the call - capturing name, contact details, credit card and rules acknowledgement - or whether it can only send a text message for the caller to self-enter. Bo said he wanted to say it was possible and committed to a definitive answer plus a Loom recording after the call.",high
1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc,Jason,New Albany Links GC,2026-06-22,discovery,rich,Which reservation system the new restaurant will use - Elias Gross put this back to Luke as step one for any restaurant integration and Luke did not answer it,high
1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc,Jason,New Albany Links GC,2026-06-22,discovery,rich,"What the MCO rate actually is - Elias Gross said the price comes down slightly at four or more courses but quoted no figure, and Luke did not press for one",high
1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc,Jason,New Albany Links GC,2026-06-22,discovery,rich,"What share of New Albany's tee-time bookings arrive by phone - Luke said he did not know the percentage, and the volume was never established",high
1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI,Bo,Temecula Creek Inn,2026-05-18,demo,rich,Which specific Southern California courses use CourseRev - no course was named during the call; the rep committed to source a comparable resort contact through CourseRev's head of operations afterwards,medium
1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q,Jason,,2026-08-13,negotiation,moderate,Whether booking fees can be collected per transaction rather than via monthly invoicing - under review by operations for feasibility,low
1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q,Jason,,2026-08-13,negotiation,moderate,Whether the club's requested payment method is workable - Elias Gross to confirm and provide a status update,low
1l6SjE9amM3BwVYl5Sd3lBvXvAVi6jP6YMrOploN4iM8,Bo,Pine Springs,2026-08-12,demo,rich,"Whether the AI she used at Point Royale in Branson, Missouri was CourseRev or a competitor - she said ""I don't know if if that was y'all or another platform"" and the doc records no answer either way",high
